Rank,Release Group,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent,year
78,Dhoom 3,88031955.0,"80,31,955",9.10%,"8,00,00,000",90.90%,2013
79,Pain & Gain,87305549.0,"4,98,75,291",57.10%,"3,74,30,258",42.90%,2013
80,About Time,87100449.0,"1,53,22,921",17.60%,"7,17,77,528",82.40%,2013
81,American Dreams in China,87097067.0,0,0,"8,70,97,067",100%,2013
82,Snowpiercer,86758912.0,"45,63,650",5.30%,"8,21,95,262",94.70%,2013
83,Carrie,84790678.0,"3,52,66,619",41.60%,"4,95,24,059",58.40%,2013
84,Finding Mr. Right,84112033.0,"6,945",0,"8,41,05,088",100%,2013
85,The Fighter Pilot,82879386.0,0,0,"8,28,79,386",100%,2013
86,Miracle in Cell No. 7,82101723.0,0,0,"8,21,01,723",100%,2013
87,The Attorney,78547586.0,"5,57,236",0.70%,"7,79,90,350",99.30%,2013
88,The Family,78418811.0,"3,69,18,811",47.10%,"4,15,00,000",52.90%,2013
89,Scary Movie V,78378744.0,"3,20,15,787",40.80%,"4,63,62,957",59.20%,2013
90,R.I.P.D.,78324220.0,"3,36,18,855",42.90%,"4,47,05,365",57.10%,2013
91,Tiny Times,77717014.0,"23,462",0,"7,76,93,552",100%,2013
92,Suck Me Shakespeer,77676735.0,0,0,"7,76,76,735",100%,2013
93,The Book Thief,76586316.0,"2,14,88,481",28.10%,"5,50,97,835",71.90%,2013
94,Escape from Planet Earth,74597643.0,"5,70,12,977",76.40%,"1,75,84,666",23.60%,2013
95,August: Osage County,74188937.0,"3,77,38,810",50.90%,"3,64,50,127",49.10%,2013
96,The Best Man Holiday,72835710.0,"7,05,25,195",96.80%,"23,10,515",3.20%,2013
97,The Counselor,71009334.0,"1,69,73,715",23.90%,"5,40,35,619",76.10%,2013
98,Sole a catinelle,69903094.0,0,0,"6,99,03,094",100%,2013
99,The Call,68572631.0,"5,18,72,378",75.60%,"1,67,00,253",24.40%,2013
100,One Direction: This Is Us,68532898.0,"2,88,73,374",42.10%,"3,96,59,524",57.90%,2013
101,Stalingrad,68316452.0,"10,13,945",1.50%,"6,73,02,507",98.50%,2013
102,Thunder and the House of Magic,64197205.0,"4,091",0,"6,41,93,114",100%,2013
103,The Grandmaster,64076736.0,"65,94,959",10.30%,"5,74,81,777",89.70%,2013
104,Side Effects,63414135.0,"3,21,72,757",50.70%,"3,12,41,378",49.30%,2013
105,The Host,63365859.0,"2,66,27,201",42%,"3,67,38,658",58%,2013
106,Runner Runner,62675095.0,"1,93,16,646",30.80%,"4,33,58,449",69.20%,2013
107,The Face Reader,61559184.0,"5,15,876",0.80%,"6,10,43,308",99.20%,2013
108,The Legend of Hercules,61279452.0,"1,88,48,538",30.80%,"4,24,30,914",69.20%,2013
109,Kick0Ass 2,60795985.0,"2,87,95,985",47.40%,"3,20,00,000",52.60%,2013
110,A Haunted House,60159584.0,"4,00,41,683",66.60%,"2,01,17,901",33.40%,2013
111,Beautiful Creatures,60052138.0,"1,94,52,138",32.40%,"4,06,00,000",67.60%,2013
112,Snitch,57824674.0,"4,29,30,462",74.20%,"1,48,94,212",25.80%,2013
113,The Physician,57284237.0,0,0,"5,72,84,237",100%,2013
114,Firestorm,55754766.0,0,0,"5,57,54,766",100%,2013
115,Dallas Buyers Club,55198285.0,"2,72,98,285",49.50%,"2,79,00,000",50.50%,2013
116,A Madea Christmas,53396635.0,"5,25,43,354",98.40%,"8,53,281",1.60%,2013
117,Temptation: Confessions of a Marriage Counselor,53143144.0,"5,19,75,354",97.80%,"11,67,790",2.20%,2013
118,Delivery Man,53120346.0,"3,06,64,106",57.70%,"2,24,56,240",42.30%,2013
119,The 100 Year0Old Man Who Climbed Out the Window and Disappeared,51167572.0,"9,44,193",1.80%,"5,02,23,379",98.20%,2013
120,Dragon Ball Z: Battle of Gods,50461371.0,"25,53,002",5.10%,"4,79,08,369",94.90%,2013
121,The Berlin File,48972848.0,"6,65,210",1.40%,"4,83,07,638",98.60%,2013
122,Homefront,48449416.0,"2,01,58,898",41.60%,"2,82,90,518",58.40%,2013
123,The Last Stand,48330757.0,"1,20,50,299",24.90%,"3,62,80,458",75.10%,2013
124,Her,48269269.0,"2,55,68,251",53%,"2,27,01,018",47%,2013
125,21 & Over,48065672.0,"2,56,82,380",53.40%,"2,23,83,292",46.60%,2013
126,Texas Chainsaw,47340586.0,"3,43,41,945",72.50%,"1,29,98,641",27.50%,2013
127,Tiny Times 2.0,47289937.0,"43,788",0,"4,72,46,149",99.90%,2013
128,Switch,47164301.0,0,0,"4,71,64,301",100%,2013
129,The Place Beyond the Pines,47052899.0,"2,14,03,519",45.50%,"2,56,49,380",54.50%,2013
130,Parker,46922566.0,"1,76,16,641",37.50%,"2,93,05,925",62.50%,2013
131,The Big Wedding,46522137.0,"2,18,19,348",46.90%,"2,47,02,789",53.10%,2013
132,Badges of Fury,46495296.0,0,0,"4,64,95,296",100%,2013
133,The World's End,46089287.0,"2,60,04,851",56.40%,"2,00,84,436",43.60%,2013
134,Grudge Match,44907260.0,"2,98,07,260",66.40%,"1,51,00,000",33.60%,2013
135,The White Storm,44670277.0,0,0,"4,46,70,277",100%,2013
136,Tarzan,44095996.0,0,0,"4,40,95,996",100%,2013
137,Secretly Greatly,43447199.0,0,0,"4,34,47,199",100%,2013
138,"The Chef, The Actor, The Scoundrel",42970000.0,0,0,"4,29,70,000",100%,2013
139,Doraemon: Nobita's Secret Gadget Museum,42770271.0,0,0,"4,27,70,271",100%,2013
140,Jobs,42128352.0,"1,61,31,410",38.30%,"2,59,96,942",61.70%,2013
141,No Man's Land,41807712.0,0,0,"4,18,07,712",100%,2013
142,Lupin III vs. Detective Conan: The Movie,41397727.0,0,0,"4,13,97,727",100%,2013
143,Yolki 3,40267368.0,0,0,"4,02,67,368",100%,2013
144,Don Jon,39439355.0,"2,44,77,704",62.10%,"1,49,61,651",37.90%,2013
145,Antoine and Sebastian,38719881.0,0,0,"3,87,19,881",100%,2013
146,Cold Eyes,37795598.0,0,0,"3,77,95,598",100%,2013
147,"Like Father, Like Son",37170163.0,"3,34,616",0.90%,"3,68,35,547",99.10%,2013
148,Detective Conan: Private Eye in the Distant Sea,36324232.0,0,0,"3,63,24,232",100%,2013
149,Dügün Dernek,36185741.0,0,0,"3,61,85,741",100%,2013
150,The Terror Live,35659824.0,0,0,"3,56,59,824",100%,2013
151,Hide and Seek,35461505.0,0,0,"3,54,61,505",100%,2013
152,Blind Detective,34958596.0,0,0,"3,49,58,596",100%,2013
153,Broken City,34737199.0,"1,97,01,164",56.70%,"1,50,36,035",43.30%,2013
154,Inside Llewyn Davis,32935319.0,"1,32,35,319",40.20%,"1,97,00,000",59.80%,2013
155,Serial Teachers,32849727.0,0,0,"3,28,49,727",100%,2013
156,Mud,32613173.0,"2,15,90,086",66.20%,"1,10,23,087",33.80%,2013
157,Midsummer's Equation,32514549.0,0,0,"3,25,14,549",100%,2013
158,Kevin Hart: Let Me Explain,32318051.0,"3,22,44,051",99.80%,"74,000",0.20%,2013
159,Pokémon,32293377.0,0,0,"3,22,93,377",100%,2013
160,The After0Dinner Mysteries,32160741.0,0,0,"3,21,60,741",100%,2013
161,Underdogs,31775719.0,0,0,"3,17,75,719",100%,2013
162,Spring Breakers,31724284.0,"1,41,24,284",44.50%,"1,76,00,000",55.50%,2013
163,New World,31670607.0,"4,57,806",1.40%,"3,12,12,801",98.60%,2013
164,101 Proposals,31283838.0,0,0,"3,12,83,838",100%,2013
165,A Wedding Invitation,30665036.0,"14,350",0,"3,06,50,686",100%,2013
166,Silent Witness,29315945.0,0,0,"2,93,15,945",100%,2013
167,Special ID,29139936.0,"12,666",0,"2,91,27,270",100%,2013
168,Kokowääh 2,28811936.0,0,0,"2,88,11,936",100%,2013
169,The Suspect,28674130.0,"2,18,693",0.80%,"2,84,55,437",99.20%,2013
170,The Four 2,28599970.0,0,0,"2,85,99,970",100%,2013
171,The Kiyosu Conference,28338665.0,0,0,"2,83,38,665",100%,2013
172,I Give It a Year,28328531.0,"34,657",0.10%,"2,82,93,874",99.90%,2013
173,Mandela: Long Walk to Freedom,27985788.0,"83,23,085",29.70%,"1,96,62,703",70.30%,2013
174,Dark Skies,27858103.0,"1,74,18,667",62.50%,"1,04,39,436",37.50%,2013
175,Nebraska,27682872.0,"1,76,54,912",63.80%,"1,00,27,960",36.20%,2013
176,The Incredible Burt Wonderstone,27437881.0,"2,25,37,881",82.10%,"49,00,000",17.90%,2013
177,Gorko!,27369902.0,0,0,"2,73,69,902",100%,2013
178,Khumba,27187375.0,"1,029",0,"2,71,86,346",100%,2013
179,You're Next,26895481.0,"1,84,94,006",68.80%,"84,01,475",31.20%,2013
180,Mr. Go,26835201.0,0,0,"2,68,35,201",100%,2013
181,The Break Up Man,26477012.0,0,0,"2,64,77,012",100%,2013
182,The Way Way Back,26474920.0,"2,15,06,546",81.20%,"49,68,374",18.80%,2013
183,We Are the Nobles,26433651.0,0,0,"2,64,33,651",100%,2013
184,The Stolen Years,26249553.0,0,0,"2,62,49,553",100%,2013
185,One Night Surprise,26220159.0,0,0,"2,62,20,159",100%,2013
186,Platinum Data,26052718.0,0,0,"2,60,52,718",100%,2013
187,Gekijouban SPEC: Kurôzu 0 Zen no hen,25860404.0,0,0,"2,58,60,404",100%,2013
188,Unbeatable,25816154.0,0,0,"2,58,16,154",100%,2013
189,Man on the Edge,25774679.0,0,0,"2,57,74,679",100%,2013
190,Enough Said,25288872.0,"1,75,50,872",69.40%,"77,38,000",30.60%,2013
191,The Last Exorcism Part II,25051865.0,"1,51,79,302",60.60%,"98,72,563",39.40%,2013
192,"Me, Myself and Mum",24991467.0,0,0,"2,49,91,467",100%,2013
193,Drug War,24676341.0,"1,28,195",0.50%,"2,45,48,146",99.50%,2013
194,The Tale of The Princess Kaguya,24479719.0,"7,03,232",2.90%,"2,37,76,487",97.10%,2013
195,The Great Beauty,24395873.0,"28,52,400",11.70%,"2,15,43,473",88.30%,2013
196,Trance,24261569.0,"23,28,743",9.60%,"2,19,32,826",90.40%,2013
197,The Railway Man,24174885.0,"44,38,438",18.40%,"1,97,36,447",81.60%,2013
198,Out of Inferno,24109886.0,0,0,"2,41,09,886",100%,2013
199,Bring Happiness Home,23980000.0,0,0,"2,39,80,000",100%,2013
0,Transformers: Age of Extinction,1104054072.0,"24,54,39,076",22.20%,"85,86,14,996",77.80%,2014
1,The Hobbit: The Battle of the Five Armies,956019788.0,"25,51,19,788",26.70%,"70,09,00,000",73.30%,2014
2,Guardians of the Galaxy,772776600.0,"33,31,76,600",43.10%,"43,96,00,000",56.90%,2014
3,Maleficent,758410378.0,"24,14,10,378",31.80%,"51,70,00,000",68.20%,2014
4,The Hunger Games: Mockingjay 0 Part 1,755356711.0,"33,71,35,885",44.60%,"41,82,20,826",55.40%,2014
5,X0Men: Days of Future Past,746045700.0,"23,39,21,534",31.40%,"51,21,24,166",68.60%,2014
6,Captain America: The Winter Soldier,714421503.0,"25,97,66,572",36.40%,"45,46,54,931",63.60%,2014
7,Dawn of the Planet of the Apes,710644566.0,"20,85,45,589",29.30%,"50,20,98,977",70.70%,2014
8,The Amazing Spider0Man 2,708982323.0,"20,28,53,933",28.60%,"50,61,28,390",71.40%,2014
9,Interstellar,681070397.0,"18,80,20,017",27.60%,"49,30,50,380",72.40%,2014
10,Big Hero 6,657827828.0,"22,25,27,828",33.80%,"43,53,00,000",66.20%,2014
11,How to Train Your Dragon 2,621537519.0,"17,70,02,924",28.50%,"44,45,34,595",71.50%,2014
12,American Sniper,547626372.0,"35,01,26,372",63.90%,"19,75,00,000",36.10%,2014
13,Godzilla,524976069.0,"20,06,76,069",38.20%,"32,43,00,000",61.80%,2014
14,Rio 2,498781117.0,"13,15,38,435",26.40%,"36,72,42,682",73.60%,2014
15,Teenage Mutant Ninja Turtles,485004754.0,"19,12,04,754",39.40%,"29,38,00,000",60.60%,2014
16,The Lego Movie,468060692.0,"25,77,60,692",55.10%,"21,03,00,000",44.90%,2014
17,Lucy,458863600.0,"12,66,63,600",27.60%,"33,22,00,000",72.40%,2014
18,Penguins of Madagascar,373515621.0,"8,38,50,911",22.40%,"28,96,64,710",77.60%,2014
19,Edge of Tomorrow,370541256.0,"10,02,06,256",27%,"27,03,35,000",73%,2014
20,Gone Girl,369330363.0,"16,77,67,189",45.40%,"20,15,63,174",54.60%,2014
21,Night at the Museum: Secret of the Tomb,363204635.0,"11,37,46,621",31.30%,"24,94,58,014",68.70%,2014
22,Noah,359200044.0,"10,12,00,044",28.20%,"25,80,00,000",71.80%,2014
23,The Maze Runner,348319861.0,"10,24,27,862",29.40%,"24,58,91,999",70.60%,2014
24,300: Rise of an Empire,337580051.0,"10,65,80,051",31.60%,"23,10,00,000",68.40%,2014
25,22 Jump Street,331333876.0,"19,17,19,337",57.90%,"13,96,14,539",42.10%,2014
26,The Fault in Our Stars,307166834.0,"12,48,72,350",40.70%,"18,22,94,484",59.30%,2014
27,Divergent,288885818.0,"15,09,47,895",52.30%,"13,79,37,923",47.70%,2014
28,Paddington,282370135.0,"7,62,71,832",27%,"20,60,98,303",73%,2014
29,Mr. Peabody & Sherman,275698039.0,"11,15,06,430",40.40%,"16,41,91,609",59.60%,2014
30,Neighbors,270665134.0,"15,01,57,400",55.50%,"12,05,07,734",44.50%,2014
31,Exodus: Gods and Kings,268175631.0,"6,50,14,513",24.20%,"20,31,61,118",75.80%,2014
32,Annabelle,257047661.0,"8,42,73,813",32.80%,"17,27,73,848",67.20%,2014
33,Hercules,244819862.0,"7,26,88,614",29.70%,"17,21,31,248",70.30%,2014
34,RoboCop,242688965.0,"5,86,07,007",24.10%,"18,40,81,958",75.90%,2014
35,The Imitation Game,233555708.0,"9,11,25,683",39%,"14,24,30,025",61%,2014
36,Non0Stop,222809600.0,"9,21,68,600",41.40%,"13,06,41,000",58.60%,2014
37,Dracula Untold,217124280.0,"5,62,80,355",25.90%,"16,08,43,925",74.10%,2014
38,The Expendables 3,214657577.0,"3,93,22,544",18.30%,"17,53,35,033",81.70%,2014
39,Into the Woods,212902372.0,"12,80,02,372",60.10%,"8,49,00,000",39.90%,2014
40,Fury,211817906.0,"8,58,17,906",40.50%,"12,60,00,000",59.50%,2014
41,Need for Speed,203277636.0,"4,35,77,636",21.40%,"15,97,00,000",78.60%,2014
42,The Other Woman,196710396.0,"8,39,11,193",42.70%,"11,27,99,203",57.30%,2014
43,The Equalizer,192330738.0,"10,15,30,738",52.80%,"9,08,00,000",47.20%,2014
44,Breakup Buddies,189017596.0,"7,77,896",0.40%,"18,82,39,700",99.60%,2014
45,Stand by Me Doraemon,183442714.0,0,0,"18,34,42,714",100%,2014
46,Serial Bad Weddings,176404493.0,0,0,"17,64,04,493",100%,2014
47,The Monkey King: Havoc in Heaven's Palace,175835580.0,0,0,"17,58,35,580",100%,2014
48,The Grand Budapest Hotel,172936941.0,"5,93,01,324",34.30%,"11,36,35,617",65.70%,2014
49,Dumb and Dumber To,169837010.0,"8,62,08,010",50.80%,"8,36,29,000",49.20%,2014
50,Into the Storm,161502194.0,"4,76,02,194",29.50%,"11,39,00,000",70.50%,2014
51,Unbroken,161459297.0,"11,56,37,895",71.60%,"4,58,21,402",28.40%,2014
52,The Monuments Men,155641650.0,"7,80,31,620",50.10%,"7,76,10,030",49.90%,2014
53,Ride Along,154468902.0,"13,49,38,200",87.40%,"1,95,30,702",12.60%,2014
54,Planes: Fire & Rescue,146965787.0,"5,91,65,787",40.30%,"8,78,00,000",59.70%,2014
55,The Taking of Tiger Mountain,141654055.0,"2,28,984",0.20%,"14,14,25,071",99.80%,2014
56,The Admiral: Roaring Currents,138342258.0,"25,89,811",1.90%,"13,57,52,447",98.10%,2014
57,Let's Be Cops,138224951.0,"8,23,90,774",59.60%,"5,58,34,177",40.40%,2014
58,Annie,136853506.0,"8,59,11,262",62.80%,"5,09,42,244",37.20%,2014
59,Jack Ryan: Shadow Recruit,135503748.0,"5,05,77,412",37.30%,"8,49,26,336",62.70%,2014
60,Blended,127994610.0,"4,62,94,610",36.20%,"8,17,00,000",63.80%,2014
61,Sex Tape,126069509.0,"3,85,43,473",30.60%,"8,75,26,036",69.40%,2014
62,The Theory of Everything,123726688.0,"3,58,93,537",29%,"8,78,33,151",71%,2014
63,The Nut Job,120885527.0,"6,42,51,541",53.20%,"5,66,33,986",46.80%,2014
64,Pompeii,117831631.0,"2,32,19,748",19.70%,"9,46,11,883",80.30%,2014
65,Seventh Son,114178613.0,"1,72,23,265",15.10%,"9,69,55,348",84.90%,2014
66,The Purge: Anarchy,111928365.0,"7,19,62,800",64.30%,"3,99,65,565",35.70%,2014
67,"Dad, Where Are We Going?",111870000.0,0,0,"11,18,70,000",100%,2014
68,The Boxtrolls,108255770.0,"5,08,37,305",47%,"5,74,18,465",53%,2014
69,Horrible Bosses 2,107645357.0,"5,44,45,357",50.60%,"5,32,00,000",49.40%,2014
70,The Breakup Guru,106980263.0,"2,08,959",0.20%,"10,67,71,304",99.80%,2014
71,Ouija,103590271.0,"5,08,56,010",49.10%,"5,27,34,261",50.90%,2014
72,Birdman or (The Unexpected Virtue of Ignorance),103215094.0,"4,23,40,598",41%,"6,08,74,496",59%,2014
73,Transcendence,103039258.0,"2,30,22,309",22.30%,"8,00,16,949",77.70%,2014
74,Heaven Is for Real,101888019.0,"9,14,43,253",89.70%,"1,04,44,766",10.30%,2014
75,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",100654149.0,"6,69,54,149",66.50%,"3,37,00,000",33.50%,2014
76,Tammy,100375432.0,"8,45,25,432",84.20%,"1,58,50,000",15.80%,2014
77,PK,100370104.0,"1,06,16,104",10.60%,"8,97,54,000",89.40%,2014
78,The Continent,100125957.0,0,0,"10,01,25,957",100%,2014
79,The Book of Life,99783556.0,"5,01,51,543",50.30%,"4,96,32,013",49.70%,2014
80,Ode to My Father,99085291.0,"23,00,121",2.30%,"9,67,85,170",97.70%,2014
81,Fleet of Time,94244191.0,"5,69,280",0.60%,"9,36,74,911",99.40%,2014
82,The Man from Macau,93864936.0,0,0,"9,38,64,936",100%,2014
83,Paranormal Activity: The Marked Ones,90894962.0,"3,24,62,372",35.70%,"5,84,32,590",64.30%,2014
84,The Hundred0Foot Journey,89514453.0,"5,42,40,821",60.60%,"3,52,73,632",39.40%,2014
85,Deliver Us from Evil,87937815.0,"3,05,77,122",34.80%,"5,73,60,693",65.20%,2014
86,A Million Ways to Die in the West,87189756.0,"4,31,39,300",49.50%,"4,40,50,456",50.50%,2014
87,Step Up All In,86165646.0,"1,49,04,384",17.30%,"7,12,61,262",82.70%,2014
88,John Wick,86013056.0,"4,30,37,835",50%,"4,29,75,221",50%,2014
89,The Judge,84419388.0,"4,71,19,388",55.80%,"3,73,00,000",44.20%,2014
90,Tiny Times 3.0,82320000.0,0,0,"8,23,20,000",100%,2014
91,Gone with the Bullets,81387479.0,0,0,"8,13,87,479",100%,2014
92,Muppets Most Wanted,80383113.0,"5,11,83,113",63.70%,"2,92,00,000",36.30%,2014
93,Spanish Affair,78768613.0,0,0,"7,87,68,613",100%,2014
94,If I Stay,78274843.0,"5,04,74,843",64.50%,"2,78,00,000",35.50%,2014
95,Head Full of Honey,78127384.0,0,0,"7,81,27,384",100%,2014
96,"I, Frankenstein",76801179.0,"1,90,75,290",24.80%,"5,77,25,889",75.20%,2014
97,Crimson Peak,74679822.0,"3,10,90,320",41.60%,"4,35,89,502",58.40%,2014
98,My Old Classmate,73052128.0,0,0,"7,30,52,128",100%,2014
99,The Bélier Family,72751538.0,0,0,"7,27,51,538",100%,2014
100,Brick Mansions,71416730.0,"2,03,96,829",28.60%,"5,10,19,901",71.40%,2014
101,Son of God,70829270.0,"5,97,00,064",84.30%,"1,11,29,206",15.70%,2014
102,Think Like a Man Too,70181428.0,"6,51,82,182",92.90%,"49,99,246",7.10%,2014
103,Jersey Boys,67647013.0,"4,70,47,013",69.50%,"2,06,00,000",30.50%,2014
104,The Giver,66980456.0,"4,50,90,374",67.30%,"2,18,90,082",32.70%,2014
105,Selma,66787908.0,"5,20,76,908",78%,"1,47,11,000",22%,2014
106,Beijing Love Story,65842375.0,"4,28,318",0.70%,"6,54,14,057",99.30%,2014
107,The House That Never Dies,65220000.0,0,0,"6,52,20,000",100%,2014
108,The Pirates,64858224.0,"4,15,775",0.60%,"6,44,42,449",99.40%,2014
109,God's Not Dead,64667874.0,"6,07,55,732",94%,"39,12,142",6%,2014
110,The Pirate Fairy,63998725.0,0,0,"6,39,98,725",100%,2014
111,The Inbetweeners 2,63852235.0,0,0,"6,38,52,235",100%,2014
112,Begin Again,63464861.0,"1,61,70,632",25.50%,"4,72,94,229",74.50%,2014
113,The White Haired Witch of Lunar Kingdom,62515046.0,0,0,"6,25,15,046",100%,2014
114,The Walk,61181942.0,"1,01,37,502",16.60%,"5,10,44,440",83.40%,2014
115,Miss Granny,58940254.0,0,0,"5,89,40,254",100%,2014
116,A Walk Among the Tombstones,58834384.0,"2,63,07,600",44.70%,"3,25,26,784",55.30%,2014
117,Dolphin Tale 2,57824533.0,"4,20,24,533",72.70%,"1,58,00,000",27.30%,2014
118,St. Vincent,54837234.0,"4,41,37,712",80.50%,"1,06,99,522",19.50%,2014
119,No Good Deed,54323210.0,"5,25,43,632",96.70%,"17,79,578",3.30%,2014
120,Overheard 3,53493428.0,0,0,"5,34,93,428",100%,2014
121,Supercondriaque,53425036.0,0,0,"5,34,25,036",100%,2014
122,3 Days to Kill,53260230.0,"3,06,97,999",57.60%,"2,25,62,231",42.40%,2014
123,Rurouni Kenshin Part II: Kyoto Inferno,52696176.0,0,0,"5,26,96,176",100%,2014
124,Wild,52501541.0,"3,78,80,356",72.20%,"1,46,21,185",27.80%,2014
125,Magic in the Moonlight,51029361.0,"1,05,39,326",20.70%,"4,04,90,035",79.30%,2014
126,About Last Night,50445860.0,"4,86,37,684",96.40%,"18,08,176",3.60%,2014
127,Dearest 2014 Re0release,50000583.0,0,0,"5,00,00,583",100%,2014
128,Whiplash,48982041.0,"1,30,92,000",26.70%,"3,58,90,041",73.30%,2014
129,Chef,48428048.0,"3,14,24,003",64.90%,"1,70,04,045",35.10%,2014
130,Boyhood,48137666.0,"2,53,52,281",52.70%,"2,27,85,385",47.30%,2014
131,Coming Home,47587984.0,"3,77,607",0.80%,"4,72,10,377",99.20%,2014
132,Beauty and the Beast,47430624.0,0,0,"4,74,30,624",100%,2014
133,Nightcrawler,47425835.0,"3,23,81,217",68.30%,"1,50,44,618",31.70%,2014
134,Earth to Echo,45681062.0,"3,89,34,842",85.20%,"67,46,220",14.80%,2014
135,That Awkward Moment,45640143.0,"2,60,68,955",57.10%,"1,95,71,188",42.90%,2014
136,Love on the Cloud,45386560.0,"2,71,734",0.60%,"4,51,14,826",99.40%,2014
137,Oculus,44446287.0,"2,76,95,246",62.30%,"1,67,51,041",37.70%,2014
138,The Great Hypnotist,44077818.0,0,0,"4,40,77,818",100%,2014
139,Kick,43996483.0,"24,72,695",5.60%,"4,15,23,788",94.40%,2014
140,Asterix and Obelix: Mansion of the Gods,42830578.0,0,0,"4,28,30,578",100%,2014
141,Thermae Romae II,42473163.0,0,0,"4,24,73,163",100%,2014
142,Bang Bang,42045981.0,"25,46,172",6.10%,"3,94,99,809",93.90%,2014
143,Detective Conan: The Sniper from Another Dimension,42028116.0,0,0,"4,20,28,116",100%,2014
144,Rurouni Kenshin: The Legend Ends,41900000.0,0,0,"4,19,00,000",100%,2014
145,"As Above, So Below",41898409.0,"2,13,21,100",50.90%,"2,05,77,309",49.10%,2014
146,This Is Where I Leave You,41296320.0,"3,42,96,320",83%,"70,00,000",17%,2014
147,Boonie Bears: To the Rescue,40163675.0,0,0,"4,01,63,675",100%,2014
148,The November Man,39661919.0,"2,50,18,119",63.10%,"1,46,43,800",36.90%,2014
149,Recep Ivedik 4,39477906.0,0,0,"3,94,77,906",100%,2014
150,Sin City: A Dame to Kill For,39407616.0,"1,37,57,804",34.90%,"2,56,49,812",65.10%,2014
151,The Gambler,39280992.0,"3,36,80,992",85.70%,"56,00,000",14.30%,2014
152,Samba,39178695.0,"1,51,530",0.40%,"3,90,27,165",99.60%,2014
153,Women Who Flirt,39156132.0,"3,75,495",1%,"3,87,80,637",99%,2014
154,Forbidden Empire 2014 Re0release,38885962.0,0,0,"3,88,85,962",100%,2014
155,The Best of Me,38609668.0,"2,67,66,213",69.30%,"1,18,43,455",30.70%,2014
156,Million Dollar Arm,38483455.0,"3,64,57,627",94.70%,"20,25,828",5.30%,2014
157,But Always,38039248.0,"4,30,760",1.10%,"3,76,08,488",98.90%,2014
158,Devil's Due,36921560.0,"1,58,21,461",42.90%,"2,11,00,099",57.10%,2014
159,A Most Wanted Man,36233517.0,"1,72,37,855",47.60%,"1,89,95,662",52.40%,2014
160,Kundo: Age of the Rampant,35941291.0,"2,80,958",0.80%,"3,56,60,333",99.20%,2014
161,Doraemon the Movie: The New Records of Nobita's Spaceblazer 2014 Re0release,35861856.0,0,0,"3,58,61,856",100%,2014
162,The Water Diviner,35396641.0,"41,96,641",11.90%,"3,12,00,000",88.10%,2014
163,When Marnie Was There,34949567.0,"5,61,085",1.60%,"3,43,88,482",98.40%,2014
164,Endless Love,34718173.0,"2,34,38,250",67.50%,"1,12,79,923",32.50%,2014
165,Black & White: The Dawn of Justice,34146896.0,0,0,"3,41,46,896",100%,2014
166,"My Love, Don't Cross That River",34012261.0,0,0,"3,40,12,261",100%,2014
167,Don't Go Breaking My Heart 2,33801759.0,0,0,"3,38,01,759",100%,2014
168,Get on Up,33448971.0,"3,07,03,100",91.80%,"27,45,871",8.20%,2014
169,Girls,33325338.0,0,0,"3,33,25,338",100%,2014
170,The Crossing,32806475.0,0,0,"3,28,06,475",100%,2014
171,Old Boys: The Way of the Dragon,32800000.0,0,0,"3,28,00,000",100%,2014
172,Tinker Bell and the Legend of the NeverBeast,31836701.0,0,0,"3,18,36,701",100%,2014
173,The Four 3,31521335.0,0,0,"3,15,21,335",100%,2014
174,Wild Tales,31478893.0,"31,06,530",9.90%,"2,83,72,363",90.10%,2014
175,Tazza: The Hidden Card,31278476.0,"2,51,555",0.80%,"3,10,26,921",99.20%,2014
176,Mrs. Brown's Boys D'Movie,31116264.0,0,0,"3,11,16,264",100%,2014
177,Rise of the Legend,30932534.0,0,0,"3,09,32,534",100%,2014
178,Winter's Tale,30800231.0,"1,26,00,231",40.90%,"1,82,00,000",59.10%,2014
179,When the Game Stands Tall,30138754.0,"3,01,27,963",100%,"10,791",0,2014
180,Draft Day,29824199.0,"2,88,42,237",96.70%,"9,81,962",3.30%,2014
181,Big Eyes,29253166.0,"1,44,82,031",49.50%,"1,47,71,135",50.50%,2014
182,The Fatal Encounter,29060186.0,0,0,"2,90,60,186",100%,2014
183,Maya the Bee Movie,28638603.0,0,0,"2,86,38,603",100%,2014
184,Pokémon the Movie: Diancie and the Cocoon of Destruction,28595105.0,0,0,"2,85,95,105",100%,2014
185,The Divine Move,27926871.0,"1,36,707",0.50%,"2,77,90,164",99.50%,2014
186,Nicholas on Holiday,27567832.0,0,0,"2,75,67,832",100%,2014
187,Grace of Monaco,27515247.0,0,0,"2,75,15,247",100%,2014
188,Left Behind,27405896.0,"1,40,19,924",51.20%,"1,33,85,972",48.80%,2014
189,Joy of Fatherhood,27088817.0,0,0,"2,70,88,817",100%,2014
190,A Hard Day,26488847.0,"19,004",0,"2,64,69,843",99.90%,2014
191,Top Five,26117471.0,"2,53,17,471",96.90%,"8,00,000",3.10%,2014
192,Iceman,26033917.0,"7,679",0,"2,60,26,238",100%,2014
193,Meet Miss Anxiety,25948636.0,0,0,"2,59,48,636",100%,2014
194,"Love, Rosie",25574387.0,"20,431",0,"2,55,53,956",99.90%,2014
